20,0.836872,0.002920,"[0.8391052226873469, 0.8345268665177403, 0.8412521726976828, 0.8389457216924049, 0.8362066242016597, 0.8334769427595778, 0.8345906481422527]",12,"(0.834898934712268, 0.8389346496761162)"
12,0.836146,0.001935,"[0.8374156769701862, 0.8369360794551594, 0.8380214633928783, 0.8339475116558267, 0.8329613032586114, 0.8362857362443498, 0.8374564037428275]",14,"(0.8346402795912784, 0.8373026396586961)"
17,0.835860,0.003888,"[0.8338552463995709, 0.8323340860845863, 0.8400634787976453, 0.8341370408005347, 0.8310779918317928, 0.839890868625465, 0.8396645287250659]",16,"(0.8333369659307891, 0.8382887512268202)"
18,0.835465,0.001644,"[0.8349575683232312, 0.8365051794848003, 0.836280382802549, 0.8364505117984431, 0.837069921828508, 0.8322911282211471, 0.8346987916670418]",6,"(0.8342922750079669, 0.8364983127122848)"
21,0.834728,0.001998,"[0.834665297628474, 0.8354278996939842, 0.8321571360786657, 0.8355700603238837, 0.8341542060429065, 0.8382457741730674, 0.8328727153563941]",11,"(0.8334993020119245, 0.836181927206832)"
19,0.834345,0.002098,"[0.832264005027516, 0.8329809402511282, 0.8349907053199145, 0.836196515150234, 0.8334750271555228, 0.8326102629406957, 0.8378965636389938]",10,"(0.8329781293652685, 0.8358016885337062)"
